0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Sampling Interval
6.273,1.428,0.149,0.558,1.671,1.314,C,30 seconds
0.751,3.769,5.924,4.151,1.671,0.406,C,30 seconds
0.07,5.303,3.802,4.151,1.671,0.406,C,30 seconds
0.421,8.04,1.628,0.558,0.465,1.314,C,30 seconds
0.07,2.507,1.628,4.151,1.671,1.314,C,30 seconds
0.07,2.507,0.149,4.151,2.569,0.406,C,30 seconds
0.421,8.04,1.628,0.254,2.569,1.314,C,30 seconds
6.866,3.769,0.149,0.558,0.465,0.406,C,30 seconds
6.273,2.664,1.628,0.254,1.671,0.406,C,30 seconds
10.013,2.664,1.628,4.151,1.671,1.314,C,30 seconds
2.393,2.507,0.149,0.254,2.569,0.406,C,30 seconds
2.028,5.303,0.149,0.558,0.465,1.314,C,30 seconds
2.995,1.428,5.924,0.558,0.465,0.406,C,30 seconds
10.013,3.769,0.149,0.254,1.671,0.406,C,30 seconds
0.751,2.507,1.647,4.151,2.569,1.314,C,30 seconds
0.07,1.428,0.149,0.254,2.569,0.406,C,30 seconds
0.07,5.303,1.647,4.151,0.465,0.406,C,30 seconds
0.421,2.664,0.149,4.151,0.465,1.314,C,30 seconds
6.273,2.507,1.628,4.151,2.569,0.406,C,30 seconds
6.866,2.664,3.802,0.558,0.465,1.314,C,30 seconds
6.866,5.303,1.628,1.532,0.465,0.406,C,30 seconds
6.273,2.558,5.924,0.558,1.671,0.406,C,30 seconds
3.688,3.769,5.924,0.558,2.569,1.314,C,30 seconds
9.827,2.507,5.924,4.151,1.671,0.406,C,30 seconds
0.751,5.303,1.628,4.151,1.671,0.406,C,30 seconds
0.07,8.04,5.924,0.254,2.569,0.406,C,30 seconds
6.866,8.04,5.924,4.151,2.569,0.406,C,30 seconds
7.012,2.664,1.628,0.254,0.465,1.314,C,30 seconds
9.827,2.507,5.924,0.558,0.465,1.314,C,30 seconds
2.393,3.769,1.628,4.151,1.671,1.314,C,30 seconds
6.273,1.428,1.647,0.254,2.569,0.406,C,30 seconds
0.07,3.769,3.802,0.558,2.569,0.406,C,30 seconds
2.028,2.664,5.924,4.151,0.465,0.406,C,30 seconds
10.901,2.558,5.924,4.151,2.569,1.314,C,30 seconds
0.751,2.507,1.628,0.254,1.671,1.314,C,30 seconds
2.393,8.04,3.802,4.151,2.569,1.314,C,30 seconds
9.827,8.04,1.628,4.151,0.465,1.314,C,30 seconds
6.866,2.558,1.647,1.532,0.465,0.406,C,30 seconds
10.901,8.04,0.149,4.151,2.569,0.406,C,30 seconds
7.012,5.303,1.628,0.558,0.465,0.406,C,30 seconds
10.013,5.303,1.647,1.532,1.671,0.406,C,30 seconds
0.07,2.664,1.647,0.558,1.671,0.406,C,30 seconds
6.273,8.04,3.802,4.151,0.465,0.406,C,30 seconds
7.012,5.303,0.149,1.532,0.465,0.406,C,30 seconds
2.393,2.507,0.149,1.532,1.671,1.314,C,30 seconds
10.013,2.507,1.628,4.151,2.569,0.406,C,30 seconds
2.028,5.303,0.149,1.532,0.465,0.406,C,30 seconds
6.866,8.04,1.628,0.558,0.465,0.406,C,30 seconds
6.866,1.428,3.802,0.254,0.465,0.406,C,30 seconds
0.751,2.664,5.924,4.151,2.569,1.314,C,30 seconds
6.866,5.303,3.802,0.558,1.671,1.314,C,30 seconds
2.028,2.558,5.924,0.254,0.465,0.406,C,30 seconds
10.013,5.303,5.924,4.151,2.569,0.406,C,30 seconds
6.273,2.558,3.802,0.254,0.465,1.314,C,30 seconds
9.827,2.664,1.647,0.558,1.671,0.406,C,30 seconds
0.421,2.664,3.802,4.151,2.569,0.406,C,30 seconds
6.866,8.04,1.647,0.558,2.569,1.314,C,30 seconds
6.866,3.769,3.802,1.532,2.569,0.406,C,30 seconds
8.586,0.506,1.806,0.92,2.28,0.671,A3,30 seconds
3.27,4.405,1.644,1.072,2.28,0.671,A3,30 seconds
1.099,4.405,3.884,1.072,2.761,0.442,A3,30 seconds
0.984,8.802,3.884,1.072,2.761,0.442,A3,30 seconds
7.483,0.572,3.884,1.95,0.819,0.442,A3,30 seconds
0.408,8.802,2.707,1.072,2.761,0.442,A3,30 seconds
0.285,0.506,1.806,0.423,2.761,0.442,A3,30 seconds
1.099,8.802,1.806,1.95,2.761,0.442,A3,30 seconds
8.586,3.593,3.884,0.423,2.761,0.671,A3,30 seconds
0.285,1.417,1.806,1.072,0.819,0.442,A3,30 seconds
3.27,0.506,0.168,0.92,0.819,0.671,A3,30 seconds
1.099,1.753,3.884,0.92,0.819,0.671,A3,30 seconds
0.285,6.601,0.168,1.072,2.28,0.671,A3,30 seconds
0.984,4.405,2.707,1.95,0.819,0.671,A3,30 seconds
2.095,4.405,1.852,0.423,0.819,0.671,A3,30 seconds
2.533,8.802,3.884,1.072,2.28,0.671,A3,30 seconds
2.095,0.506,2.707,0.92,0.819,0.671,A3,30 seconds
4.815,6.601,3.884,0.92,2.28,0.671,A3,30 seconds
12.788,0.506,1.852,0.92,0.819,0.671,A3,30 seconds
1.767,3.593,1.806,0.92,0.819,0.671,A3,30 seconds
7.483,8.802,1.806,1.95,2.28,0.442,A3,30 seconds
5.706,1.753,0.168,1.072,2.761,0.671,A3,30 seconds
4.815,3.593,1.852,0.423,0.819,0.442,A3,30 seconds
12.788,8.802,0.168,1.072,0.819,0.442,A3,30 seconds
0.984,3.593,3.884,1.95,2.28,0.442,A3,30 seconds
4.815,0.572,1.806,0.423,2.761,0.442,A3,30 seconds
2.095,0.506,3.884,1.072,0.819,0.442,A3,30 seconds
6.05,4.405,1.644,1.072,2.761,0.671,A3,30 seconds
1.099,8.802,2.707,1.072,2.761,0.671,A3,30 seconds
0.408,6.601,3.884,0.92,2.761,0.671,A3,30 seconds
2.533,0.572,1.806,1.95,0.819,0.671,A3,30 seconds
1.767,4.405,1.644,0.423,2.28,0.671,A3,30 seconds
5.706,1.417,0.168,1.072,2.761,0.442,A3,30 seconds
0.737,6.601,2.707,0.423,0.819,0.442,A3,30 seconds
1.099,4.405,1.644,1.95,2.761,0.671,A3,30 seconds
0.974,8.802,0.168,0.423,2.761,0.442,A3,30 seconds
0.984,1.417,1.806,0.423,2.761,0.442,A3,30 seconds
6.05,4.405,0.168,1.072,2.28,0.671,A3,30 seconds
0.984,1.753,2.707,0.92,2.28,0.671,A3,30 seconds
0.974,8.802,0.168,1.95,2.761,0.442,A3,30 seconds
