0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Feature,Frequency Density Group
5.014,28.905,8.554,49.108,7.27,,A2,select word,rare
89.973,56.054,4.041,45.716,8.554,,A2,select word,rare
18.581,11.797,23.108,56.054,27.635,,A2,select word,rare
8.554,11.797,41.203,8.405,18.581,,A2,select word,rare
5.014,5.014,36.676,8.554,8.554,,A2,select word,rare
32.149,38.932,17.608,52.5,25.365,,A2,select word,rare
45.716,66.081,22.122,21.973,1.77,,A2,select word,rare
35.703,11.797,112.595,28.757,17.608,,A2,select word,rare
22.122,38.932,0.486,21.973,40.216,,A2,select word,rare
32.149,32.149,0.486,28.905,20.838,,A2,select word,rare
72.865,32.149,27.635,35.703,4.041,,A2,select word,rare
45.716,1.77,27.635,11.797,20.838,,A2,select word,rare
59.297,11.797,18.581,11.946,22.122,,A2,select word,rare
76.405,8.554,40.216,52.5,14.054,,A2,select word,rare
59.297,66.081,36.676,39.095,6.297,,A2,select word,rare
18.581,38.932,14.054,8.554,6.297,,A2,select word,rare
22.122,15.338,40.216,35.703,8.554,,A2,select word,rare
5.014,42.486,8.554,25.365,1.77,,A2,select word,rare
86.432,76.405,13.081,21.973,53.784,,A2,select word,rare
32.149,25.365,26.649,21.973,1.77,,A2,select word,rare
35.703,11.797,14.054,25.365,43.459,,A2,select word,rare
32.149,11.797,41.203,5.014,7.27,,A2,select word,rare
8.554,11.797,23.108,35.541,9.541,,A2,select word,rare
5.014,15.338,31.176,15.189,14.054,,A2,select word,rare
62.838,25.365,27.635,45.878,28.905,,A2,select word,rare
49.27,18.581,4.041,28.757,22.122,,A2,select word,rare
5.014,59.297,41.203,1.77,15.338,,A2,select word,rare
8.554,32.149,44.743,22.122,24.392,,A2,select word,rare
35.703,11.797,5.014,35.703,7.27,,A2,select word,rare
8.554,18.581,35.703,11.946,32.149,,A2,select word,rare
57.83,10.723,15.638,5.447,,,A1,select word,rare
58.17,15.979,26.532,71.34,,,A1,select word,rare
47.277,42.34,5.106,34.447,,,A1,select word,rare
68.702,31.468,26.532,10.383,,,A1,select word,rare
68.362,10.383,12.128,42.34,,,A1,select word,rare
15.638,15.638,12.468,0.17,,,A1,select word,rare
36.745,26.191,1.596,39.362,,,A1,select word,rare
47.277,5.447,75.745,0.17,,,A1,select word,rare
36.745,5.106,47.277,0.17,,,A1,select word,rare
131.979,37.064,12.128,21.255,,,A1,select word,rare
5.106,95.064,33.553,15.638,,,A1,select word,rare
26.191,20.915,47.277,58.17,,,A1,select word,rare
5.447,31.809,15.638,18.277,,,A1,select word,rare
15.979,95.064,36.745,2.468,,,A1,select word,rare
131.979,0.17,1.596,8.085,,,A1,select word,rare
58.17,20.915,50.787,34.106,,,A1,select word,rare
5.447,10.723,33.553,31.468,,,A1,select word,rare
47.277,10.723,12.468,8.085,,,A1,select word,rare
36.745,10.723,5.106,29.17,,,A1,select word,rare
5.106,15.979,15.979,10.723,,,A1,select word,rare
15.979,20.915,61.681,8.085,,,A1,select word,rare
26.191,10.723,5.106,0.17,,,A1,select word,rare
15.979,15.979,22.681,15.979,,,A1,select word,rare
5.447,0.17,1.936,26.532,,,A1,select word,rare
131.979,105.617,26.532,10.383,,,A1,select word,rare
15.638,15.638,5.447,34.106,,,A1,select word,rare
47.617,20.915,47.617,20.915,,,A1,select word,rare
47.277,73.638,5.106,20.915,,,A1,select word,rare
5.106,42.34,40.255,39.702,,,A1,select word,rare
26.191,84.532,1.936,21.255,,,A1,select word,rare
26.191,31.809,23.021,2.468,,,A1,select word,rare
37.064,5.106,5.106,15.979,,,A1,select word,rare
68.702,126.702,61.681,37.064,,,A1,select word,rare
47.277,26.191,8.617,50.255,,,A1,select word,rare
57.83,42.34,1.596,20.915,,,A1,select word,rare
26.532,42.34,26.191,7.745,,,A1,select word,rare
26.191,36.745,12.468,2.468,,,A1,select word,rare
47.277,63.426,1.596,26.532,,,A1,select word,rare
5.106,10.383,8.617,8.085,,,A1,select word,rare
153.064,63.085,1.936,34.106,,,A1,select word,rare
26.532,20.915,15.638,21.255,,,A1,select word,rare
15.638,0.17,50.787,13.34,,,A1,select word,rare
5.447,5.447,1.936,28.83,,,A1,select word,rare
36.745,68.362,22.681,20.915,,,A1,select word,rare
100.34,5.106,43.766,10.383,,,A1,select word,rare
15.979,15.638,26.532,31.809,,,A1,select word,rare
5.447,15.979,26.191,31.809,,,A1,select word,rare
26.532,84.532,40.596,18.617,,,A1,select word,rare
5.447,21.255,26.191,0.17,,,A1,select word,rare
58.17,42.0,37.064,7.745,,,A1,select word,rare
79.255,5.106,5.106,73.979,,,A1,select word,rare
153.064,10.723,1.596,2.809,,,A1,select word,rare
68.702,10.383,37.064,10.383,,,A1,select word,rare
79.255,79.255,40.596,13.021,,,A1,select word,rare
47.617,10.723,26.191,10.383,,,A1,select word,rare
100.34,31.809,30.043,5.106,,,A1,select word,rare
26.191,10.383,5.106,23.553,,,A1,select word,rare
15.979,26.532,23.021,13.021,,,A1,select word,rare
57.83,31.468,29.702,10.383,,,A1,select word,rare
37.064,5.447,19.511,21.255,,,A1,select word,rare
89.447,10.383,12.128,21.255,,,A1,select word,rare
26.532,37.064,26.191,34.106,,,A1,select word,rare
15.979,42.34,36.745,31.468,,,A1,select word,rare
15.638,57.83,36.745,2.468,,,A1,select word,rare
26.191,36.745,47.617,52.894,,,A1,select word,rare
15.638,73.638,40.596,18.277,,,A1,select word,rare
195.234,5.447,26.532,23.894,,,A1,select word,rare
26.191,63.426,47.277,31.809,,,A1,select word,rare
26.191,31.468,47.277,34.447,,,A1,select word,rare
5.447,121.426,58.17,44.638,,,A1,select word,rare
68.362,5.447,8.617,20.915,,,A1,select word,rare
79.255,10.383,1.596,23.894,,,A1,select word,rare
5.106,52.553,23.021,58.17,,,A1,select word,rare
37.064,10.383,1.596,15.979,,,A1,select word,rare
5.106,47.617,40.255,31.809,,,A1,select word,rare
36.745,5.447,5.447,23.894,,,A1,select word,rare
79.255,15.979,12.128,2.468,,,A1,select word,rare
68.362,31.809,33.553,18.277,,,A1,select word,rare
5.447,63.426,40.596,2.468,,,A1,select word,rare
57.83,10.383,1.936,13.34,,,A1,select word,rare
36.745,10.383,15.979,5.106,,,A1,select word,rare
5.447,5.447,5.447,36.745,,,A1,select word,rare
37.064,58.17,19.17,15.638,,,A1,select word,rare
205.787,36.745,23.021,26.532,,,A1,select word,rare
79.255,36.745,37.064,8.085,,,A1,select word,rare
26.532,37.064,8.957,13.021,,,A1,select word,rare
26.191,21.255,8.957,23.553,,,A1,select word,rare
36.745,84.532,30.043,34.106,,,A1,select word,rare
26.532,20.915,40.596,36.745,,,A1,select word,rare
15.638,26.191,5.106,13.021,,,A1,select word,rare
68.702,10.723,5.447,0.17,,,A1,select word,rare
110.872,26.191,1.936,31.468,,,A1,select word,rare
57.83,5.447,26.191,47.617,,,A1,select word,rare
47.617,20.915,26.191,36.745,,,A1,select word,rare
26.191,21.255,12.468,39.362,,,A1,select word,rare
58.17,73.979,1.936,26.532,,,A1,select word,rare
15.638,5.447,5.447,2.809,,,A1,select word,rare
100.34,5.447,12.128,23.553,,,A1,select word,rare
26.532,15.979,44.106,13.021,,,A1,select word,rare
15.638,0.17,54.319,18.617,,,A1,select word,rare
17.735,2.824,146.794,38.294,64.529,28.529,B2,select word,rare
