0.05,0.1,0.15,0.2,0.3,0.4,Transcript,Sampling Interval
2.428,2.781,0.919,6.754,,,A1,30 seconds
1.301,1.6,3.616,3.687,,,A1,30 seconds
4.876,4.275,7.942,9.423,,,A1,30 seconds
6.594,3.162,0.534,2.645,0.237,3.347,B1,30 seconds
0.144,8.565,4.41,7.124,6.551,0.937,B1,30 seconds
12.9,3.882,3.402,7.092,0.956,2.968,B1,30 seconds
10.061,2.399,10.62,5.577,3.734,0.688,B1,30 seconds
0.915,1.098,1.311,5.334,2.927,2.404,B1,30 seconds
1.721,9.002,2.758,1.543,5.858,1.378,B1,30 seconds
12.824,0.144,2.074,10.548,0.788,0.149,B1,30 seconds
12.985,17.02,7.4,7.092,0.11,5.609,B1,30 seconds
13.494,14.117,2.06,0.587,0.068,3.352,B1,30 seconds
2.602,1.627,6.007,2.028,0.993,3.05,B1,30 seconds
11.299,0.123,1.41,3.132,2.411,0.937,B1,30 seconds
9.519,13.142,3.238,1.615,0.788,1.493,B1,30 seconds
14.638,3.395,3.125,8.544,2.017,0.11,B1,30 seconds
17.74,4.827,1.302,5.662,0.674,0.661,B1,30 seconds
15.825,5.704,2.724,4.136,4.22,4.851,B1,30 seconds
0.356,2.772,4.071,0.886,1.091,1.94,B1,30 seconds
16.46,0.695,1.099,0.068,0.668,3.405,B1,30 seconds
14.053,9.637,0.379,2.939,2.729,0.976,B1,30 seconds
7.908,5.408,8.027,6.711,6.389,0.221,B1,30 seconds
6.594,5.959,1.043,1.638,0.434,3.153,B1,30 seconds
16.893,8.62,3.605,9.762,3.33,1.219,B1,30 seconds
15.367,2.835,0.342,1.593,5.231,0.349,B1,30 seconds
11.807,4.666,2.334,2.051,5.032,1.855,B1,30 seconds
2.348,4.573,0.972,3.257,2.418,3.723,B1,30 seconds
2.56,12.697,0.492,1.159,1.825,2.107,B1,30 seconds
5.789,12.973,3.421,2.697,1.585,1.151,B1,30 seconds
4.679,2.348,2.122,4.751,3.139,0.213,B1,30 seconds
18.834,12.231,2.512,6.563,0.137,4.889,B1,30 seconds
3.797,0.534,3.416,1.257,2.893,2.86,B1,30 seconds
1.721,2.611,10.762,6.616,5.966,6.716,B1,30 seconds
0.661,11.977,0.144,8.523,3.831,0.441,B1,30 seconds
11.426,3.895,9.603,4.223,6.614,4.467,B1,30 seconds
3.153,1.106,1.65,9.18,4.156,1.816,B1,30 seconds
9.9,4.276,1.791,5.272,0.264,6.427,B1,30 seconds
3.195,5.662,6.261,4.213,6.911,1.514,B1,30 seconds
6.077,5.484,5.422,11.004,2.328,1.212,B1,30 seconds
16.206,0.937,5.583,2.952,1.514,1.257,B1,30 seconds
12.697,4.869,6.219,4.359,1.677,3.63,B1,30 seconds
16.672,4.467,3.501,0.271,3.181,4.61,B1,30 seconds
18.206,5.662,2.207,2.632,2.137,2.173,B1,30 seconds
9.595,4.806,4.015,6.046,6.494,0.778,B1,30 seconds
23.835,4.213,5.04,2.358,4.206,1.853,B1,30 seconds
14.138,10.112,9.956,8.069,9.15,1.62,B1,30 seconds
19.817,4.764,4.453,5.505,1.204,0.414,B1,30 seconds
23.546,11.269,0.958,3.64,1.028,1.959,B1,30 seconds
4.721,0.025,1.622,8.936,1.424,3.746,B1,30 seconds
31.336,3.776,0.017,2.727,0.061,1.002,B1,30 seconds
3.323,5.408,8.699,2.92,4.567,0.1,B1,30 seconds
7.866,13.608,8.733,5.461,2.208,0.796,B1,30 seconds
17.825,13.184,3.063,2.526,7.569,0.949,B1,30 seconds
7.484,4.433,2.766,4.319,0.766,2.247,B1,30 seconds
4.043,0.759,10.479,2.399,1.966,4.091,B1,30 seconds
11.163,9.201,5.153,0.091,1.31,4.483,B1,30 seconds
1.67,1.415,5.286,4.636,0.52,0.529,B1,30 seconds
2.729,2.971,6.665,4.372,6.163,0.682,B1,30 seconds
13.333,4.785,0.158,3.967,3.005,5.06,B1,30 seconds
9.222,0.661,7.928,5.94,1.156,4.602,B1,30 seconds
8.501,8.429,2.639,1.797,1.375,3.815,B1,30 seconds
7.094,11.235,5.187,2.653,1.048,0.889,B1,30 seconds
7.561,1.318,8.035,7.686,3.506,3.238,B1,30 seconds
25.92,9.243,8.219,4.891,0.017,4.375,B1,30 seconds
4.721,7.421,4.34,5.842,0.499,3.548,B1,30 seconds
4.552,4.382,1.834,4.668,3.782,1.816,B1,30 seconds
7.145,3.268,5.224,4.571,7.979,2.941,B1,30 seconds
1.415,12.146,0.752,0.545,9.738,0.133,B1,30 seconds
5.492,2.801,3.133,2.782,2.397,2.234,B1,30 seconds
23.029,7.421,1.415,0.809,0.372,2.367,B1,30 seconds
4.382,13.875,0.723,0.025,0.066,1.265,B1,30 seconds
