# Percent Error Rates for sampling interval groups at 120 minutes total sampled time
30 seconds,1 minute,5 minutes,10 minutes,30 minutes,60 minutes,Transcript
3.407,3.122,7.381,2.863,6.359,66.553,B2
7.846,9.788,9.826,13.063,32.83,19.499,B2
1.265,15.836,5.278,4.966,15.838,42.88,B2
0.063,12.342,3.939,10.402,39.29,32.39,B2
2.888,14.923,5.1,6.562,12.845,1.852,B2
3.68,3.054,28.634,2.696,36.488,68.274,B2
7.944,12.121,13.924,7.739,59.928,30.696,B2
6.439,3.709,12.437,8.681,82.219,51.255,B2
4.24,6.523,5.021,6.821,16.041,31.232,B2
2.355,15.822,0.923,0.705,12.273,58.535,B2
8.818,1.606,9.132,14.076,35.204,30.669,B2
8.08,7.684,8.326,3.914,13.462,35.299,B2
6.343,7.9,4.57,19.881,1.565,49.204,B2
1.019,0.948,6.209,11.768,12.287,89.144,B2
11.561,11.383,18.772,28.732,13.869,11.848,B2
1.481,1.153,4.584,5.251,32.049,65.05,B2
1.768,4.31,6.318,15.112,12.055,27.776,B2
2.385,18.037,17.857,21.9,28.402,65.719,B2
2.164,8.761,5.157,18.215,8.173,21.452,B2
6.605,9.089,15.959,30.002,25.615,9.501,B2
4.324,0.581,14.557,12.195,23.342,46.565,C
2.668,3.515,3.472,12.652,48.915,33.457,C
5.96,6.532,5.629,9.935,22.191,31.974,C
4.036,3.153,5.345,23.678,36.139,48.221,C
0.455,3.294,0.333,8.784,14.419,43.931,C
3.251,3.299,6.496,26.785,25.677,62.354,C
5.807,7.416,0.507,10.629,0.455,44.53,C
6.658,10.428,9.308,3.236,53.915,48.315,C
