# Percent Error Rates for Total Sampled Time (minutes) analyis; TTS: 30 min - 180 min, sampling interval:30 seconds
7.651,3.602,0.059,3.653,6.745,6.614,4.561,3.138,0.079,2.019,A2,2.652,1.054,2.051,2.764,3.888,3.51
10.701,6.652,0.693,1.722,6.397,1.864,3.815,0.73,1.186,6.957,A2,0.926,1.857,2.471,2.177,1.634,0.935
3.829,1.925,1.083,7.496,6.553,1.468,1.253,0.071,5.711,5.371,A2,1.739,2.397,1.279,2.093,0.709,0.101
11.786,5.798,7.993,1.742,4.061,8.978,4.277,3.816,9.106,3.247,A2,4.686,0.383,2.059,2.703,0.612,1.884
5.577,5.493,19.016,2.047,1.064,1.369,1.904,4.548,1.321,2.792,A2,1.129,14.161,1.766,1.033,0.863,3.646
3.788,0.21,3.992,0.481,1.987,2.985,2.61,7.769,7.199,4.721,A2,5.233,0.862,4.158,4.129,1.329,3.687
12.843,6.317,5.651,5.029,1.848,0.583,3.409,0.625,8.873,3.602,A2,5.371,0.243,0.774,3.846,3.07,5.781
14.768,3.29,5.895,2.731,3.746,0.736,0.63,2.279,1.443,0.464,A2,2.443,0.689,1.14,3.122,4.896,4.229
1.064,2.589,2.43,4.467,1.482,1.224,1.091,4.999,1.077,0.878,A2,6.078,4.401,1.523,0.118,2.402,3.436
12.03,0.492,8.042,1.234,10.787,2.215,1.511,3.157,1.818,2.372,A2,1.245,3.938,7.931,7.43,4.817,1.884
4.67,2.627,1.674,3.504,3.172,6.035,3.802,13.336,4.369,4.172,A2,0.438,0.236,4.545,1.414,1.103,3.836
20.041,1.468,6.012,0.563,1.899,8.009,8.912,5.231,4.526,3.653,A2,0.163,1.09,6.679,0.72,1.9,5.415
5.008,1.376,7.378,2.121,5.576,11.608,2.84,1.254,3.727,2.22,A2,2.53,4.314,6.614,0.012,1.921,1.538
8.424,3.968,5.895,9.041,7.005,2.116,4.805,5.626,0.522,1.447,A2,1.92,2.528,2.999,1.59,3.945,3.741
0.888,2.474,1.62,8.818,5.594,4.822,3.057,0.832,0.522,2.924,A2,2.668,0.94,2.734,3.961,7.634,3.159
6.215,0.065,3.674,6.574,0.243,4.952,0.006,4.565,3.415,6.459,A2,0.053,5.672,5.06,1.506,5.51,7.306
6.513,2.223,2.913,2.243,4.497,5.486,6.838,0.888,3.459,1.915,A2,0.51,5.001,5.545,9.908,2.496,5.374
9.224,4.395,0.039,3.389,0.487,8.604,4.602,1.942,4.626,1.874,A2,0.935,2.596,0.571,5.005,2.539,3.26
2.406,0.362,1.425,0.759,0.888,7.346,5.645,2.23,3.295,3.9,A2,4.17,1.831,3.837,2.726,2.169,3.416
9.075,8.665,0.132,1.348,7.93,2.474,12.274,0.62,5.289,2.152,A2,5.449,0.418,4.569,0.339,2.008,0.922
5.727,8.597,7.11,4.683,1.813,0.659,7.611,1.01,5.346,6.317,A2,1.526,0.68,5.028,4.258,5.761,0.047
15.134,0.667,2.986,5.748,7.285,5.509,3.693,3.304,0.201,0.471,A2,5.937,2.737,0.722,1.064,1.986,2.223
6.35,11.105,0.571,3.422,0.487,0.431,5.279,5.297,2.452,2.223,A2,6.047,1.099,4.423,5.852,1.143,2.555
13.535,8.017,4.206,1.633,0.14,1.285,6.025,5.56,2.838,1.674,A2,2.284,1.611,2.848,1.445,2.75,1.688
7.069,2.101,8.501,0.271,2.162,0.088,6.079,3.125,5.047,3.226,A2,1.739,1.081,0.063,2.009,2.104,0.318
